Komentar,Klasifikasi
Di banjarmasin hampir tiap subuh sdh byk bertebaran.. udara jd panaaaaas sore2 jd hujan...,NEGATIF
Oh itu yg bikin cuaca ga karuan... @infobmkg  gmn sih negara ini?,NEGATIF
"@patrickstar2345  udah orange di bogor, geblek dan zalim emang oknum yg bikin kualitas udara jelek",NEGATIF
@nux41 iya mungkin.. soalnya masa sudah berkali2 & berulang 2 terjadi tapi pemerintah seolah diam/ membiarkan saja & media juga tidak mengangkat/ berusaha menggali informasi mengenai hal meresahkan seperti ini.. kan aneh,NEGATIF
Maren gw juga liat nih..,NEGATIF
Awas PPKM berakhir tp chemtrail makin digalakkan.,NEGATIF
Azab untuk kalian yang gemar memodifikasi cuaca untuk kemudharatan rakyat,NEGATIF
Semoga luhut dan gerombolannya menghirup itu.,NEGATIF
Setiap pagi,NEGATIF
"Lebaran kedua mudik ke Klaten hampir  sepanjang perjalanan lihat beginian, pas kelihatan banget waktu di Tegal ?",NEGATIF
"@civitas.dei Kalo betul itu chemstrail, lalu untuk apa ya masih dilakukan? Serius ga faham?",NETRAL
@aboehumam iya bener saya sempet rekam ini,NEGATIF
Ini yg menyebabkan sakit tenggorokan batuk berdahak,NEGATIF
dijakarta ada chemtrail? itu tandanya runway 07 lagi aktif?,NEGATIF
Grogol jakbar?,NEGATIF
di Jawa juga ada min pagi cuma sayang ga sempet bawa hp karena mau ke sawah ada 4 garis malah,NEGATIF
Info ppkm di perpanjang dari lord kita ?,NEGATIF
Agenda masih berlanjut... ?,NEGATIF
Astagfirullah... beraksi kembali,NEGATIF
@beardsby kalau dipikir2.. saya juga merasa sepertinya begitu..,NEGATIF
"Sy awal nya gk terlalu memperhatikan, tp begitu sy liat yg super duper panjang jejak nya, sy auto memvideo & foto, lalu sy jd kan stts di wa. Tp segitu byk kontak wa sy, mrk pd nanya ""itu bekas pesawat ya"" males jelasin nya, sy suruh buka akun ini ??",NEGATIF
Malem ini bogor 162 level merah,NEGATIF
Mulai,NEGATIF
Pantes jadi batuk batuk gatal,NEGATIF
Komen ah.  Pswt msih wara wiri.. gk trllu tinggi.  Smpe besarny pswt pun nampak jls dr pemukiman wrga.. gk nmpak jejak asap sih... Tapiiii.. knp cuaca jd extrimm panasssss bgettt..... Kyk dipanggang dlm oven,NEGATIF
@raninurmaulia_ ya soalnya saya mikirnya TNI AU mustinya punya alat yang bisa mendeteksi.. ?,NETRAL
Bagus garisnya bisa lurus gitu???,NEGATIF
@dedekaa19 semakin ke sini saya udah makin nangkep korelasinya ?? cuma kalau begini.. tambah bingung mau lapor ke siapa..,NEGATIF
Gawat ni mulai lagi ?,NEGATIF
Peoplesida ? mereka yg berbuat dzolim akan merasakan pedihnya siksa kubur dan siksa neraka kelak,NEGATIF
Di bandar lampung juga jam 5.40 pagi,NEGATIF
Samaaa. Pantura juga min. Pagi ini..... Allah ya Allah,NEGATIF
Pesawat2 itu tugas sehari2 ngapain min? Kenapa dia Mondar mandir ga jelas,NEGATIF
Gmn mksdnya pren?,NETRAL
"Siang tdi Berangkat kerja hujan dijalan banyak busa, berangkat ga pakai masker ehh nyampe tmpt kerja tenggorokan jadi kayak radang",NEGATIF
Kotaku ini min?udh mendung msh aja semprot2 ga abis2...aku ngerasa diperlakukan kayak kecoak,NEGATIF
"@agus13kurniawan sama aku juga, tenggorokan rasanya perih tanpa sebab jelas, setelah kena hujan padahal cuma sebentar, dan sekarang suaraku hilang (serak)",NEGATIF
Tebuat roundup di pesawat sa ku lih????,NEGATIF
Tenggorokan sering kering tiba2 ada yg sama ngalamin?,NEGATIF
@anikgrapejava ya allah kejamnya,NEGATIF
"@krisfiand.r yup...ga lama kemudian serak, hilang suara sampai semingguan",NEGATIF
Gak beres ini,NEGATIF
"hujan nya sekarang kek tipis banget min,badan langsung meriang semua?",NEGATIF
Jarak berapa kaki tuh?? Kok rendah bangett,NEGATIF
"Begini min, jogja itu kandang nya tim aerobatic jupiter TNI... Itu video pendek banget, blom jelas itu chemtrail atau asap buat atraksi/pertunjukan",NETRAL
Min yg bisa nerbangin pesawat kan TNI AU.... apa ini kerjaan mereka?,NEGATIF
"Pesawat nya yang siluman,Bukan itunya",NEGATIF
Keterlaluan asli,NEGATIF
Itu pasti pesawat yang buang angin chemtrail butuh bandara dan landasan. Masa EO-nya itu pakai atau Carter pesawat dan bandara komersial?,NEGATIF
Drii minggu lalu min. Malem pun ada..,NEGATIF
Cuaca Jakarta ga enak buat dihirup ?,NEGATIF
Malem"lewat nih 23:25..pengin keluar buat vidion tpi gk brani udh sepi bgt.q ampe paham betul suara pesawat chemtrail.a,NEGATIF
"Bingung, langit gapernah warna biru di Tangerang dan Jakarta",NEGATIF
"Mulai lagi mereka, di Rohul hari Ahad kemaren jg ada.",NEGATIF
Wah palangkaraya juga sdah di semprot ya,NEGATIF
Doa jamaaah....mudahan pelaku chemtrail dpt ganjaran setimpal......ad gak yg tersentil,NEGATIF
Jam setengah 3 pagi ngapain pesawat terbang rendah gt?,NEGATIF
Ni udah rame lagi ya min cmtrail nya?,NEGATIF
Ngeri. Nebar chemtrails maalem malem. Kek omnibis,NEGATIF
Info min pesawat chemtrail bisa gak di bazoka? udh gemes saya liat nya bnyak org yg mendadak penyakitan.,NEGATIF
Smoga pilotnya sehat2 ya di neraka,NEGATIF
gw kira udahan. ternyata masih lanjut ? aduh ga capek apa nyemprot nyemprot??,NEGATIF
Banyak orang sakit lagi ini mh lur,NEGATIF
Agenda kontrol cuaca terang-terangan,NEGATIF
Itu apa ya sebenernya??,NETRAL
"pantesan orang rumah pada bengek,, salam ngapak nyong cilacap sidareja",NEGATIF
skrg jadwal hujan udah ketebak. Antara jam 12 siang sampai jam 2 siang. Kenapa ya?,NEGATIF
Calon ibu kota aja berani mereka racuni??.. Apalagi Ibu Pertiwi???,NEGATIF
@akitgunawan parahhh?,NEGATIF
Abis dah rakyat diracunin Mulu salah apa si rakyat..amit2 dah,NEGATIF
Ya Allah jatuhkanlah pesawat yg niat jahat kepada umat,NEGATIF
di balikpapan ya? Tpi di daerah gw ga keliatan,NEGATIF
Itu pesawat tempur anjir mana bisa nebarin bahan kimia ?,POSITIF
Nah kan gimana mau endemi kalo begini kena Prank lagi?,NEGATIF
Orang majalengka kalo kena chemtrail cek highlight nya teluuurr..,NEGATIF
Negeri dzalim,NEGATIF
"Mendung,sakit semua se dunia",NEGATIF
Kota saya min ?,NEGATIF
Akhir? ini sering ga enak badan?,NEGATIF
MEMBUNUH MASYARAKAT SECARA PERLAHAN ?,NEGATIF
"Wah keren, pas ditengah-tengah bulan",NEGATIF
"Info min, bangkalan mana ini??",NEGATIF
"Bagi pengendali tatanan skala lokal, semua harus support sebagaimana sabdanya tentang prediksi puncak",NEGATIF
"Gara2 kena chemtrail udah sakit 3 hari, pala pusing, badan meriang, sakit tenggorokan, badan pegel.",NEGATIF
Tp herannya tetep aja dibilang hoak ?,NEGATIF
Ada yg tau gimana supaya udara dalam rumah ga terkontaminasi chemtrails ?,NEGATIF
Katanya itu asep dari pesawat aerobatic Au lagi latihan ?,NETRAL
Di balik musim sakit belakangan ini,NEGATIF
Banyak yg sakit dah???,NEGATIF
GIMANA MAO ILANG VIRUSS NYA ... ORANG SETIAP HARI DI SEBAR TERUSSSSSSS . BIAR ENTAR YG NYEBAR KENA AZAB KUBURAN NYA BAU KIMIA,NEGATIF
"Di akun mana Gitu, sampe dibilang chemtrail itu hoax ? padahal emang fakta kok, walaupun saya belom liat langsung tapi suami saya udah bapil meriang demam terus sembuh beberapa hari kemudian begitu lagi...",NEGATIF
Sampai kapan kira2 rekayasa iklim ini berlangsung lurr??,NEGATIF
"Cilodong tiap pagi pesawat lewat,jam 7an grimis mendung gmn siih min cuacany jd gaje,.!!! yaa Allah cuaca ae sampe dibuat  keg gini... gaa takut sm yg maha kuasa Allah swt maha segala?  dzholim bgt sumpah",NEGATIF
Min di tangsel tepat nya pamulang td ada penyemprotan lewat mobil.. Cek DM nya saya ada kirim vidio nya,NEGATIF
Banyak formasi awan sekarang sangat mencemaskan. Semoga tidak terjadi apa2 dan selalu ada dalam lindungan Allah SWT. Aamiin.,NEGATIF
Di jawa timur kok banyak pesawat bertebangan min?,NEGATIF
HAARP?,NEGATIF
"mau tanya dong min barusan ada pesawat terbang rendah di daerah Serang, mau cek aplikasi flightradar kok gabisa ya? offline gitu dr servernya? atau emang aplikasinya yg lg gangguan?",NETRAL
"Allahu akbar , tengah malam diatas rumah saya seliweran pesawat bolak-balik terus mana hujan lagi ?? nyari apa ya ?!!! Bolak-balik mulu neh pesawat",NEGATIF
"@pemuda.rebahan69 kalau selalu ada pesawat terbang di jatim ya memang ada,kan orang selalu berpergian kapanpun, seharusnya yg ditanyakan itu ?enapa selalu ada pesawat yang terbang rendah, meninggalkan asap",NEGATIF
Mulai pada batuk daerah Pantura min per beberapa Hari kemaren. Meler pilek radang tenggorokan. Ya Rabb. Kuasa Engkau?",NEGATIF
"intinya jangan terkenda air hujan secara langsung ,dan kalo nafas agak berasa ga enak dan penciuman k ganggu coba pake minyak kayu putih/fresh care,dll ???",NEGATIF
tebar racun troooosssssss,NEGATIF
"Masih byk yg blm sadar, dan trs memuja kopet luuur, muak rasanya teman2ku sendiri masih byk yg begitu",NEGATIF
Coba di santet dooong...budaya lokal,NEGATIF
di Bali masi bnyk yg blm ngeh,NEGATIF
"Jgn ampe ke cimanggis tuh asep, gbisa mabol lg gua yg ada?",NEGATIF
Menghalalkan segala cara demi keserakahan,NEGATIF
Ayo pakai masker karena udara sedang diracun. Mereka Bener2 mau melawan tuhan,NEGATIF
"Tahun lalu skitar pertengahan bln februari saya ngrasain gejala yg dibilang sprt gejala copet, smp ngga bs mencium bau smp hampir 2bln. Dan skrng saya rasain gejala itu lg, tp bedanya msh  bs mencium bau. Apakah ini ada hubungannya dgn chemtrail.? Knp kejadiannya, wktnya bs hampir sm sprt thn lalu...alhamdulillah saya blum faksin, dan saya mengalami ini cm 1th sekali.",NEGATIF
"Yg bilang hoax coba gua tanya, kenapa chemtrails massif? Hampir semua luar kota dikasih chemtrails",NEGATIF
@adambougas sbenernya kog diracun utk apa ya? Kalau semua sakit kan yg rugi mereka2 yg nyebar jga ya,NETRAL
Bongkar bongkar bongkar ???,NEGATIF
Woiii mana matanya yang membantah? Punya mata gak? Bisa liat gak itu gak ilang2? Tau bedanya gak?,NEGATIF
"Chemtrail secara umum terjadi di banyak negara juga untuk menutupi pandangan masyarakat umum akan penampakan planet Nibiru yang mendekati bumi , walau begitu penampakan Nibiru di beberapa negara sudah terlihat , dengan menggunakan chemtrail mereka berusaha menghambat/ memperlambat kesadaran masyarakat akan Nibiru untuk menghindari kepanikan di masyarakat dunia",NEGATIF
Baru kemaren min kena ginian badan langsung drop. Padahal malam gk ada gejala apa apa. Panas dingin sendi sendi pada ngilu. Tapi pas saya balur badan saya pakai daun kelor Alhamdulillah langsung enakan.,NEGATIF
"Liat youtube @satria_ponde , yg lagi makan bubur ketan hitam, langit nya jelas bgt chemtrail di Birminghamm",NEGATIF
Ih dekat dengan lokasi saya min,NETRAL
"Kalau punya rudal, ditembak aja tuh pesawat yang sebar chemtrails, biar  tau siapa yg nyebarin",NEGATIF
Hujannya tadi pagi nih min,NEGATIF
Oh sekarang malem hari maenya...,NEGATIF
"Semoga kenanya ke anak dan keluarganya sendiri, aamiin",NEGATIF
Min siang ini kok banyak pesawat mondar mandir,NEGATIF
Orang" sedang tertidur lelap mereka sibuk sebar penyakit . Kejahatan terhadap kemanusiaan,NEGATIF
Di Bdg mah dr pagi ampe siang,NEGATIF
KL KT ORG ORG PINTER DAN CERDAS DAN GA EKONOMI RENDAH MENURUT DIA .. ITUU KONDENSASI PESAWATT !!! MANA BUKTI NYA KL ITU CHEMTRAIL ???? GINI NIH KELAKUAAN MASYARAKAT INDONESIA MAKANYA GA MAJU MAJU !!! ANJIINGGG EMGG ORGGG ORGGG ITUUUU,NEGATIF
Astagfirullah Hal adzim.... Main malem jugak yak ternyata? Kirain open BO doang yg malem2 maen..... ?,NEGATIF
"emang bener min, kadang dimalam? kaya ada pesawat capung terbang gitu",NEGATIF
Jam-jam orng berangkat subuhkah?,NEGATIF
@idafaridahsp Liat di daerah mana teh ?? Hujan ga sesudahnya ?? Laa haula walaa quwwata illa billah,NEGATIF
Mereka kaya tapi curang,NEGATIF
Noh kek waktu itu ada pesawat pagi buta bgt kek gini @amiraaa16__,NEGATIF
"Buat yang kena racun chemtrails dan sakit ( disebut Omicron di dunia medis katanya ? ) ini obatnya. Aku kena langsung sembuh dalam 1 hari dari lemas gak berdaya demam jadi sehat bertenaga dan keringetan lagi
Norit 2 bgks
Garam
Air kelapa ijo 4 kelapa
Jeruk lemon / Vitamin C
Obat cacing vermint
Cefadroxil Monohydrate
Cara : Norit minum 7 kapsul 3 kali sehari, kumur air garam 5x sehari, minum air kelapa ijo 2 kelapa 2 kali sehari, Vitamin C / jeruk lemon 3x sehari, Obat cacing vermint 2 kapsul 3x sehari, Cefadroxil Monohydrate 3x sehari",NEGATIF
"@jihan.simaningrat12 emang berpengaruh ke Peru t pencernaan, cemtrail?",NEGATIF
"@jihan.simaningrat12 emang berpengaruh ke Peru t pencernaan, cemtrail?",NEGATIF
Gini jg nih d t4 ku... Mau di tracking... Ternyata bukan 1 titik aja,NEGATIF
"@opung.haseum puncak pas puasanya, mau lebaran turun supaya orang ke mall dan beli baju",NEGATIF
Chemtrails,NEGATIF
@aris_adity1_ ngaruhh diare..ane ngalamin?,NEGATIF
@gugungunawan204 samaaa ak jg diareee,NEGATIF
Gitu juga pada ga nyadar. Heran gue,NEGATIF
Cianjurkuu?,NEGATIF
Gimana omicron ga naik...wong udaranya aja dikasih racun...!!!! Memang BASAT OPUNG NIH !!!??,NEGATIF
"Indramayu jg sm, musim org sakit masa setelah hujan turun  2hari berturut2 smua kna pilek demam suara agak serak, sodara, adek 2 org, ponakan, adek ipar, kok barengan sakit nya gara2 hujan, langsung qu suruh bikin jamu kunyit, sere, jahe, ksh gula merah, dn jeruk nipis, di tmbh minum obt warung neuralgin, alhamdulilah pada sembuh stlh pada sakit 2,3 harian",NEGATIF
@widy398 nunggu rakyat yg mau melawan dan tdk mau dibodohi....orang pintar aja sekarang msh bnyk yg bodoh dan mau dibodohin???,NEGATIF
@akustinesindy waspada!!! Ingatkan sekeliling sebisanya,NEGATIF
@widy398 coba panggil dukun banyuwangi ?? kali aja disantet mempan,NEGATIF
@akustinesindy cianjur tos benang chemtrails teh??,NEGATIF
Udeh sering benget gw liat jalan bgtu abis ujan di tangsel..dan selalu barengan sama jadwal ppkm ..hehe,NEGATIF
"Aku di bintaro min ,lg bnyk yg batuk pilek & radang tenggorokan",NEGATIF
Persiapan buat larangan mudik,NEGATIF
"Dan lucunya pemuja kopit omimron bilang gejala omimron itu kaya flu dan tulang nyeri, dari alm kakek gw masih ada jg itu sudah jauh ada, omimron tua banget berarti ya luuur??",NEGATIF
Kata buseeeeRP .... Itu abis dicleaning lantainya pakek deterjen hehehehe,NEGATIF
"Tangerang kota sempet hujan kaya gini nih basahnya , cuma sebentar",NEGATIF
"Di manado jg lgi byk yg sakit, gejalanya ya gitu.. Lagi gencar cari duit kali ya",NEGATIF
Pantas ya melonjak omicrot dsn,NEGATIF
Betul di Surabaya banyak yang Bapil,NEGATIF
"Stelah semua gejala yg ditimbulkan,langsung melambung si klopit?",NEGATIF
Gw  didepok min..dari kemaren tiap pagi pesawat muter2 gatau ngapain..lama banget mondar mandir ampe siang.. nanti sorean hujan gede ..sampe malem masih grimis2,NEGATIF
@sepakbola_netizenberbicara.id mekarjaya tadi pagi juga heli puter2 aja diatas,NEGATIF
Di pontianak kmren sempat min. Di genangan di jln. Padahal hujan sebentar,NEGATIF
@evahusnayah di Bandung Juga Sama waktu 4hari yg Lalu ada  Chemistrail langsung pada tumbang,NEGATIF
Itu yg di spray ke udara powder omicron ?www.omikroncompound.com,NEGATIF
Min tdi siang ada suara kapal lewat eh sore nya hujan,NEGATIF
Hujan itu berkah . tapi kalo di campur dengan tangan manusia yg dzholim jadinya anu ?,NEGATIF
Tadi pagi ada matahari tetap hujan min ?,NEGATIF
Hujan chem..,NEGATIF
Lagi di bantah tuh di IG CNN chemtrail dibilang hoax ?,NEGATIF
"Bikin demam, pilek, radang tenggorokan, ngilu persendian, kalo ditest PCR dijamin OmiCrot.",NEGATIF
"@ajenkinuk bilang sm CNN.. klo chemtrail dibilang hoax.. ngapain didaerah gue.. bbrp hr berturut2 peswat lewat melulu, tmpt gue biasa ny jrg ada peswat lewat",NEGATIF
"Udah 1 bulanan ini tiap hri cuacanya begini terus, ada yg aneh",NEGATIF
@seruniseruntilserundeng rekayasa cuaca,NEGATIF
"@ridwanzatmiko wkwk, buatanya chembong bro?",NEGATIF
Lagi datang nih hawa2 begini di jakarta berasa gaenak bgt rata2 org2 disini terserang flu batuk..,NEGATIF
"Waspada kepada semua manusia!!! Racun sengaja ditebar dengan alasan mengurangi resiko. Keliatannya perhatian, tapi membunuh pelan2. Kalau bukan, lalu apa namanya?",NEGATIF
"Udara terasa berat jika dihirup, pakai masker malah tambah sesak gak sih? Apa murni polusi udara? Tapi hujan sering turun,, eh bukan hujan ...gerimis lah ya karena butiran airnya lebih kecil,?",NEGATIF
"Yes, bener bgt lg musim hujan berasa ini yg disebutin diatas",NEGATIF
"kemana2 orang batuk semua,cuaca sama udara aroma nya udah gaada seger2nya wlpn di pagi hari. gila ini diracun muluu kita parah",NEGATIF
Dimana ne bau seperti itu,NEGATIF
"Aku kerja gak pake masker lagi min, alhamdulillah gak di angkut pak polisi meski jualannya deket sama asrama polisi??",NEGATIF
"Mata sering gatel, gimana yak min? Akhir2 ini sering walo jarang bepergian jauhhhh",NEGATIF
Obatnya apa lur,NEGATIF
iyaa minn tadi malem baru berasa,NEGATIF
@vhivie_fe101. Perubahan cuaca,NEGATIF
Betul banget apa lagi tenggorokan berasa bener ?,NEGATIF
"betul,seminggu yg lalu dirumah bau kyk tabung gas bocor min",NEGATIF
Biasanya sehabis ada pesawat lalu lalang terbang rendah,NEGATIF
Kalau sampe berasa berarti kandungan chemtrailnya udah tinggi banget,NEGATIF
Kok Samaaa yy???,NEGATIF
Apakah itu ??,NETRAL
Pernah ...awalnya bau seperti kabel hangus... Tdk bis cium bau bau an,NEGATIF
"Jangan2 emg bener bau kaya gas kmren itu chemtrails, langsung sakit tenggorokan dan skrg lg batuk ?",NEGATIF
"ga sempat motoin min, baru kali ini liat kucing kampung mati ( tnp kecelakaan ) pdhl kucingnya masih muda & sehat",NEGATIF
@berliana_jantoe70000 nah ini kemarin ni kecium kabel kebakar,NEGATIF
Samaaa bangett kakkk,NEGATIF
"@91_puput lah sama...kirain gas abis,pdhl baru ganti. Dan akhir2 ini tenggorokan berasa radang,ampe menghidari minuman instant yg byk mengandung gula, ternyata si chem chem??",NEGATIF
Gatel dan perih kalo dikucek fix kena chemtrail,NEGATIF
Yep ini juga ciri? chemtrail,NEGATIF
Ini gw ngerasain tadi pas jalan pulang ke rumah ba'da shalat magrib..,NEGATIF
"Pentesan tenggorokan sakit buat nelan, kirain panas dalam hhmm.",NEGATIF
Solusi buat nyembuhin min?,NEGATIF
Di medan ud terasa dari 3hari yg lalu batuk dan tenggorokan terasa gatal . Dan smpek sekrng blm smbuh juga .,NEGATIF
Kemarin? seperti itu apa mungkin yaa,NEGATIF
"Arti istilah booster ya ini. Bukan cuma di suntik di badan, tapi di suntik di udara. Didalam badan diracun, diluar badan diracun",NEGATIF
@berliana_jantoe70000 pantes kmrn pas dijalan bau kabel kebakar.. ternyata ini to..?,NEGATIF
@feraassegafff iya yg pas awal thn 2020 lg gencar2 covid ... 2 bulan sy g bs cium ... Yg bs sy cium hanyabau kabel hangus sprt di tenggorokan...,NEGATIF
"iya lur, udh berapa hari di depok sering liat pesawat terbang rendah.. ?",NEGATIF
"Pagi ini gua nyium bau gajelas pas ditempat kerja, ampe gua tegesin 2x",NEGATIF
"Saya pernah bgtu pas bulan 6 thn lalu..seumur hdup brunitu ngerasain aneh ,hidung kyk cium gas yg nyengat..ga bsa cium bau2 dri dapur",NEGATIF
"ini waktu gua bulan juni 2021 kmren bgtu tuh....udh gila emank, warga dibikin sakit serentak",NEGATIF
Puskesmas deket rumah udh kek pasar,NEGATIF
terus cara ngobatinya gimana,NEGATIF
Omicron beraksi ?,NEGATIF
pantesan tadi di jalan abis hujan liat genangan air ada busanya,NEGATIF
Omicron buat sambut ramadhan lebaran...,NEGATIF
Andai bisa menembak sampai kena. Sah2 saja,NEGATIF
trus apa fungsi akun Telur upload2 beginian? yuk ah! turun langsung ke jalan! ??,NEGATIF
"Hore, pantes dari 6 orang dirumah, 5 diantaranya pada sakit, 1 orang enggak(masih kecil)",NEGATIF
KENAPA PENAMPAKAN SEPERTI INI MEDIA NASIONAL TIBA TIBA  BUTA YA,NEGATIF
"Cara antisipasi dri efek chemtrails gimana ya min, mohon masukkannya ??",NEGATIF
@aniesbaswedan @jokowi @luhut.pandjaitan nih pak bisa jelasin kok bisa ada chemtrail? Bukannya chemtrail bahaya untuk kesehatan? Pesawat itu siapa yg suruh?,NEGATIF
rasanya gemes kalau lihat berita kek gini.mana sih dokter yg katanya pinter knp pada takut speak up.kalian tu disumpah atas nama Allah disaksikan malaikat tp masalah kyk gni pada diem?? 3th masalah kek gni gak kelar2 payah,NEGATIF
Ini mau tanya klo keracuna. Chemtreal minum apa ya.. jwb dong please,NEGATIF
"Sudah ? lewat turunlah hujan, sehat2 semuanya",NEGATIF
Jir cikeas dkt euyy pantess,NEGATIF
Mereka panik karena lab senjata biologis yg di ukraina udh ketemu sm rusia..bisa liat di postingan @uaz.id,NEGATIF
Waduh daerah saya ini min,NETRAL
"Ga ada yg riset dan meniliti ini ya, ada kandungan apa aja gtu kok bisa berbusa. Terus hasil risetnya publikasikan",NETRAL
Rumah gua nih bang,NETRAL
"Daerah kota palu sulawesi tengah juga sama,cuman saya tidak video",NEGATIF
siap2 byk yg tiba2 batpil,NEGATIF
"Daerah saya , anak anak banyak yg sakit lur, termasuk anak saya?, yg paling sering gatal gatal seperti cacar , diare dan dbd?",NEGATIF
"Banyak yg pada batuk, pilek demam , ya,allah yaa rabb, hentikanlah kedzoliman mereka??",NEGATIF
"Pantes kemaren balik gawe liat, tp ga sempet videoin",NEGATIF
"Dia modusnya memang ketika hari cerah, biar nampak area yg di semprotnya padat penduduk atau gak. Ketika cerah berawan, pantengin deh gaes.... , usul lur kita bikin komunitas anti chemtrail, perkabupaten kita kumpulkan relawan relawan pemantau chemtrail",NEGATIF
Oh pntes lord berkata February maret omicron melonjak?,NEGATIF
"Skitaran jkt tgrang udh masuk kemtril kayana minn,smgguan kmaren laki aktipitas d luar sesak napas mlu",NEGATIF
Solusi downg gimana cara ngatasin chemtrail nya soalnya sekarang saya lagi ngalamin efek dari chemtrail,NEGATIF
REZIM BANGSAT !,NEGATIF
Alasan mereka kalibrasi apakah benar!,NETRAL
mrk bisanya tebar pesona & tebar rancun,NEGATIF
tadi pagi ditangerang juga gelap bat min?,NEGATIF
HAARP,NEGATIF
"Barusan di puncak bogor liat ky awan Cheamstril,, tp lupa rekam",NEGATIF
Untung udah lewat malam sabtu kemarin,NEGATIF
Niiharrp?,NEGATIF
Apakah mau hujan?,NEGATIF
"@and_riherdiansyah Hari rabu kemarin saya pulang dr puncak kegerimisan dikit.. Malemnya anak langsung sakit, 2 hari kemudian giliran saya & istri yg tepar ?????",NEGATIF
"Hari Minggu kmrn pagi sm sore emng ada pesawat bolak balik..jam 9 pagi nya sempet hujan sebntr..terus sorenya ada lgi pesawat Ampe 3 kali lewat pas aku lgi makan..masa blm abis nasi sepiring pesawat 3 kali lewat,, sempet heran sih..pas selesai makan lngsng keluar, penasaran pengen liat ke langit ternyata awannya item gitu dikira mau hujan",NEGATIF
"Ben podo modar rkyat e ya ditebar chemtrail.. dipelabuhan sasaran empuk tuh,, brpa bnyk manusia aja wara wiri dipelabuhan..mbok ya yg nebar pke peswat mati aja deh kejebur laut gpp kox .",NEGATIF
"Gile, kek nya HARRP mo bikin Gempa Tsunami besar nih. Mo bikin pengalihan' mereka2 tau korban kipi vaxx pada tumbang dan juga settingan perang Rusia vs ukraine.",NEGATIF
"@riskyindra coba minum norit, penangkal chemtrail",NEGATIF
"Lur, tadi sore sekitar jam 15.20 WIB/ beberapa menit sebelum Adzan Ashar hujan di Depok. Hujannya tuh kayak bau-bau kapolrit/ knalpot mobil lur",NEGATIF
"@sepakbola_netizenberbicara.id Tadi sore saya merasakan bau-bau seperti itu lur pas pertama turun hujan. Pas hujan deras, baunya malah hilang lur",NEGATIF
"@riskyindra aku semarang jg.. tenggorokan kering , sakit, sisanya mlh batuk skrg ?",NEGATIF
"Tebalnya,,gimana g sakit...jahatnya mereka...antek2 abu Jahal...",NEGATIF
Sama yg kayak di Aceh tahun kmrn,NEGATIF
"Seharusnya org2 medis mencurigai hal ini kudu diteliti yaa,",NEGATIF
Haarp ini,NEGATIF
"Allah pasti akan murka,jika manusia selalu menzolimi manusia,dan pemerintah malah mendukung kezholiman,jgn salah kan Tuhan jika sudah murka",NEGATIF
"Ngerinya ni chemtrail laknat nyampe ke cimanggis, tempat ane tinggal?",NEGATIF
"Bikin sakit tenggorokan,kemaren semarang digas terus sampai 2 garis",NEGATIF
Yg gw pikirin skrg bagaimana menghentikan semua ini ?,NEGATIF
"""Wow genah banget coyy, schemtre-ill"" ? ,, semoga mbak n adiknya g apa2 ya mungkin g jd bersin2,, batuk, pusing, n tenggorokan sakit bahkan pusing kepala ?",NEGATIF
"O iya lur
Kira-kira, kalo misalnya cuma gerimis sebentar abis itu mendung dan cerah atau hujan gede masuk ke dalam chemtrail gak lur?",NEGATIF
Apa gk capek sih yg ngelakuin kyk gtu.,NEGATIF
Bali juga ada tadi sore,NEGATIF
Hehr iia itu beh di purbalingga setiap hri lewat..anakku ni juga lg sakit?..pilek..panas?,NEGATIF
Itu kalo masuk ke awan terus tembus dunia lain.... Wassalam,NEGATIF
"@jenderaltniandikaperkasa  maaf pak jenderal , kenapa di Indonesia banyak begini sekarang pak ? :(",NEGATIF
@iamqava sama ya gejalanya..anak sy jg ada sakit badan pegel2 dan panasnya jg..dia mmg punya maag tp g prnh separah ini..iya anak jg g kena ujan tp tiap hr prgi sekolah krn udh mulai tatap muka..udh speechless sy dgn kezaliman yg trjd skrg ini..???,NEGATIF
"Rakyatnya udah pada sembuh malah di kasih chemtrail, manfaatnya apa sih klo boleh tau? Biar rakyatmu mati2 perlahan gtu kah. Apa biar bisa pandemi cokvid lagi biar CUAN semua gtu.",NEGATIF
tniau ini gasih yg bikin? sangat2 dzolim sekali ?,NEGATIF
kok ga ada karifikasi fihak2 terkait  apa krn warga 62 diem2 ae ?,NEGATIF
@luhut.pandjaitan Bisnismu ?,NEGATIF
"Siapa yg ngirim chemtrail?yaa rejim si ""J"", dia gk mau pandemi berakhir, demi cuan.",NEGATIF
"Biasanya abih itu ujan gede, banyk yg sakit. ?",NEGATIF
"@sepakbola_netizenberbicara.id bisa jadi, kemaren hujan sedang sebentar gak nyampe se jam, malam nya badan saya demam, pdhal gak kehujanan cuma duduk di teras rumah. Sy cek gak ada chemtrail didaerah saya pagi atau siang, Dugaan sy bisa jadi chemtrail di daerah lain dibawa hujan ketempat saya",NEGATIF
"Gak siap2 ya nyebar penyakit,tpi dri jaman aku smp 2006 uda ada yg ginian,kita dlu kalau uda lewat yg ginian di udara,pada mintak duit smua",NEGATIF
"SEGERA LAUNCHING VARIAN IDIOT + VAXXX EFEK = OMICRON, suka2 bandar deh mau di kasih nama apa' kan cuma nama yg di patenkan biar masuk ke memory otak domba2 .",NEGATIF
